Octave, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Octave-Orange-ABS-Filament-Printers/dp/B007X08OIA/ref=sr_1_93?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-93
Octave, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Octave-Orange-ABS-Filament-Printers/dp/B007X08OIA/ref=sr_1_93?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-93
LD Products, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), [     ], 1.75 millimeters, https://www.amazon.com/LD-Orange-1-75mm-Printer-Filament/dp/B00LWPHU4G/ref=sr_1_94?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-94
Smartbuy, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Smartbuy-1-75mm-Orange-Printer-Filament/dp/B017MYK8XA/ref=sr_1_95?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-95
MG Chemicals, BLUE, PLA (POLYLACTIC ACID), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/MG-Chemicals-Orange-Printer-Filament/dp/B014PF0NWU/ref=sr_1_96?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-96
Dremel, [     ], PLA, 1.65 pounds, [     ], https://www.amazon.com/Dremel-PLA-ORA-01-PLA-Orange-0-75kg/dp/B084XSB7TD/ref=sr_1_99?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-99
RepRapper, ORANGE, HIPS, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Printing-Orange-Filament-1-75mm/dp/B07Y53T94P/ref=sr_1_101?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-101
RepRapper, BLUE, ABS, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4WVWWH/ref=sr_1_104?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-104
IC3D Printers, [     ], [     ], 2 pounds, [     ], https://www.amazon.com/IC3D-Orange-1-75mm-Printer-Filament/dp/B01LZB27XB/ref=sr_1_105?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-105
Smartbuy, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Smartbuy-1-75mm-Orange-Printer-Filament/dp/B017MYK8XA/ref=sr_1_124?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-124
