Flashforge USA, ORANGE, ACRYLONITRILE_BUTADIENE_STYRENE, 1.10 pounds, 1.75 millimeters, https://www.amazon.com/Flashforge-USA-Printing-Printer-Filament/dp/B07NSJTTPQ/ref=sr_1_76?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-76
Silhouette America, ORANGE, PLA FILAMENT, 3.04 ounces, 1.75 millimeters, https://www.amazon.com/Silhouette-America-PLA-Filament-Grams/dp/B086BV78MM/ref=sr_1_77?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-77
Paramount 3D, MCLAREN ORANGE, PLA, [     ], 1.75 millimeters, https://www.amazon.com/Paramount-3D-Filament-Sample-McLaren/dp/B07VHFPSNR/ref=sr_1_78?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-78
ERYONE, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-1-75mm-ERYONE-Printing-Printer/dp/B07GNGGDNG/ref=sr_1_83?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-83
Paramount 3D, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Paramount-3D-PANTONE-Filament-ORL20112019C/dp/B01N4MW1OX/ref=sr_1_85?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-85
Octave, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Octave-Orange-ABS-Filament-Printers/dp/B007X08OIA/ref=sr_1_86?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-86
Filament PM, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Czech-Made-Orange-Printing-Filament-PM/dp/B0823X4BRZ/ref=sr_1_90?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-90
INLAND, ORANGE, PLA+(PLA PRO), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Inland-1-75mm-PLA-Printer-Filament/dp/B081S6D6YB/ref=sr_1_91?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-91
SunTop, SILK ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Suntop-Printer-Filament-Dimensional-Accuracy/dp/B0781S3T2F/ref=sr_1_92?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-92
SYLVANIA, ORANGE, GLASS, 1.72 ounces, [     ], https://www.amazon.com/Sylvania-40301-Filament-Decorative-Lighting/dp/B07MMT3NFG/ref=sr_1_93?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-93
Superfila, ORANGE, PLA, 2.2 pounds, [     ], https://www.amazon.com/Superfila-Printer-Filament-Dimensional-Accuracy/dp/B07PM5LJ5X/ref=sr_1_96?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-96
Smartbuy, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Smartbuy-1-75mm-Orange-Printer-Filament/dp/B017MYK8XA/ref=sr_1_97?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-97
LD Products, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), [     ], 1.75 millimeters, https://www.amazon.com/LD-Orange-1-75mm-Printer-Filament/dp/B00LWPHU4G/ref=sr_1_98?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-98
Suppy3D, ORANGE, PLA, 2.80 pounds, 1.75 millimeters, https://www.amazon.com/Supply3d-Print-Filament-1-75mm-Orange/dp/B07S3FC9NS/ref=sr_1_100?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-100
Polymaker, ORANGE, POLYVINYL BUTYRAL, 1.65 pounds, 2.85 millimeters, https://www.amazon.com/Polymaker-PolySmooth-Filament-Layer-Free-Printing/dp/B07NQ2T32N/ref=sr_1_99?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-99
Polymaker, ORANGE, PLA, 0.026 ounces, 2.85 millimeters, https://www.amazon.com/Polymaker-PolyMax-Filament-Jam-Free-Stronger/dp/B01CNHV0W4/ref=sr_1_103?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-103
FlashForge, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Flashforge-Printer-Filaments-Spool-Dimensional-Accuracy/dp/B07XCWM8BF/ref=sr_1_104?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-104
SleekLighting, ORANGE, GLASS, 4.8 ounces, [     ], https://www.amazon.com/SleekLighting-Filament-Orange-Colored-Dimmable/dp/B07PC3CN8K/ref=sr_1_107?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-107
Monoprice, BRIGHT ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filamento-poliac%C3%A9tico-impresora-pulgadas-Anaranjado/dp/B00IACCJG8/ref=sr_1_109?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-109
HQA 3D Filaments, ORANGE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HQA-ABS-LW-3D-Printer-Filament/dp/B07BWR98CC/ref=sr_1_113?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-113
YOYI, ORANGE, TPU, 1.76 pounds, 1.75 millimeters, https://www.amazon.com/YOYI-Flexible-Filament-Tolerance-Orange/dp/B07F1V57BK/ref=sr_1_116?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-116
LONGSELL, ORANGE, POLYCARBONATE (PC), 2.27 pounds, 1.75 millimeters, https://www.amazon.com/Filament-Printer-Strength-Printed-Material/dp/B07RQRJWSQ/ref=sr_1_118?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-118
