IC3D Printers, [     ], [     ], 2 pounds, [     ], https://www.amazon.com/IC3D-Orange-1-75mm-Printer-Filament/dp/B01LZB27XB/ref=sr_1_102?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-102
RepRapper, BLUE, ABS, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/REPRAPPER-Orange-Printing-Filament-1-75mm/dp/B07Y4WVWWH/ref=sr_1_105?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-105
WYZworks, [     ], [     ], 2 pounds, [     ], https://www.amazon.com/WYZworks-1-75mm-Premium-Printer-Filament/dp/B07ND5666S/ref=sr_1_106?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-106
MG Chemicals, BLUE, PLA (POLYLACTIC ACID), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/MG-Chemicals-Orange-Printer-Filament/dp/B014PF0NWU/ref=sr_1_108?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-108
WFLNHB, [     ], PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/3D-Printer-Filament-Diameter-Dimensional/dp/B07WZZLW43/ref=sr_1_110?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-110
SainSmart, [     ], [     ], 2.42 pounds, [     ], https://www.amazon.com/SainSmart-Flexible-Printing-Filament-Dimensional/dp/B00TI3JUV0/ref=sr_1_114?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-114
HATCHBOX, BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0GPC80/ref=sr_1_115?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-115
HATCHBOX, RED, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-Filament-Dimensional-Accuracy/dp/B00J0GO8I0/ref=sr_1_117?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-117
HATCHBOX, BLUE, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/HATCHBOX-3D-ABS-1KG1-75-BLU-Filament-Dimensional/dp/B00J0H3PG0/ref=sr_1_119?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-119
FASTTOBUY, [     ], ALUMINUM, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/1-75mm-Orange-Printer-Filament-2-2lbs/dp/B085VL74D5/ref=sr_1_121?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-121
Gizmo Dorks, VARIETY PACK B, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.70 pounds, 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-Printer-Filament-1-75mm/dp/B07HR4SJVL/ref=sr_1_122?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-122
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/Mwave3D-MBFP001-Orange-Filament-1-75mm-Orange/dp/B00LWH8M00/ref=sr_1_123?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-123
Monoprice, [     ], [     ], 3 ounces, [     ], https://www.amazon.com/Monoprice-Select-Premium-Filament-1-75mm/dp/B07HFPZY4M/ref=sr_1_124?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-124
CC3D, SILK COPPER, PLA, 2.20 pounds, 2.85 millimeters, https://www.amazon.com/Copper-Printer-Filament-Printing-Material/dp/B07GP31WY6/ref=sr_1_127?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-127
Gizmo Dorks, [     ], ABS (ACRYLONITRILE BUTADIENE STYRENE), 9.6 ounces, 2.85 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-2-85mm/dp/B074W31CH9/ref=sr_1_128?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-128
Monoprice, [     ], [     ], 2.2 pounds, [     ], https://www.amazon.com/Monoprice-Premium-Printer-Filament-PETG/dp/B01AXHBXMI/ref=sr_1_129?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-129
Suppy3D, PURPLE, PLASTIC, 2.80 pounds, 1.75 millimeters, https://www.amazon.com/Supply3D-Printing-Filament-PLA-Purple/dp/B07RY5H6JR/ref=sr_1_131?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-131
iSANMATE, BLACK, PLA, 2.50 pounds, 1.75 millimeters, https://www.amazon.com/Filament-1-75mm-iSANMATE-Printing-Printer/dp/B07VDLFVP9/ref=sr_1_134?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-134
INLAND, GREEN, PLA, 2.20 pounds , 2.20 pounds, 2.85 millimeters, https://www.amazon.com/Inland-1-75mm-Orange-Printer-Filament/dp/B00YQBGMBU/ref=sr_1_138?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-138
Paramount 3D, [     ], PETG, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Double-Sided-Copper-Laminate-Circuit/dp/B01LYQV3KA/ref=sr_1_141?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-141
Gizmo Dorks, [     ], ABS (ACRYLONITRILE BUTADIENE STYRENE), [     ], 1.75 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-1-75mm/dp/B074VHVV5T/ref=sr_1_148?dchild=1&keywords=orange+filament&qid=1593651241&s=industrial&sr=1-148
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/s?k=orange+filament&i=industrial&rh=n%3A16310091&page=7&qid=1593651265&ref=sr_hi_1
TOPZEAL, TRANSPARENT, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/TOPZEAL-Filament-Transparent-Dimensional-Transparent-Orange/dp/B07VBB9HHM/ref=sr_1_147?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-147
ZheJiang Emitting Optoelectronic Technology Co.Ltd, 4.5W-5000K-4 PACK, [     ], 11.5 ounces, [     ], https://www.amazon.com/Flexible-Filament-Light-Equivalent-G25-8W-2700K-6Pack/dp/B0829QCT88/ref=sr_1_148?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-148
Gizmo Dorks, [     ], PLA, 9.6 ounces, 2.85 millimeters, https://www.amazon.com/Gizmo-Dorks-Filament-Printers-2-85mm/dp/B074W7MZLF/ref=sr_1_151?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-151
IC3D Printers, BEIGE, ABS, 2.2 pounds, [     ], https://www.amazon.com/IC3D-Orange-1-75mm-Printer-Filament/dp/B00DVOVI5I/ref=sr_1_152?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-152
Sindoh, [     ], [     ], [     ], [     ], https://www.amazon.com/Sindoh-3DWOX-Flexible-Orange-Filament/dp/B07898BBCQ/ref=sr_1_156?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-156
SUNLU, BLACK, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/SUNLU-Filament-1-75mm-Printer-Black/dp/B07Q82HVTT/ref=sr_1_163?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-163
3D Solutech, YELLOW, TPE (THERMOPLASTIC ELASTOMER), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/3D-Solutech-Through-Flexible-Filament/dp/B00VKSJ6VK/ref=sr_1_164?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-164
Manli, [     ], [     ], 2.2 pounds, [     ], https://www.amazon.com/Manli-M-PFMPLA-RA-Orange-Filament-Printers/dp/B01MR7UBRJ/ref=sr_1_167?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-167
Suppy3D, RAINBOW, PLA, 2.80 pounds, 1.75 millimeters, https://www.amazon.com/SUPLLY3D-Filament-Rainbow-1-75mm-2-2lb/dp/B07RY6CZJC/ref=sr_1_168?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-168
Suppy3D, PEAK GREEN, PLASTIC, 2.80 pounds, 1.75 millimeters, https://www.amazon.com/SUPPLY3D-Filament-PLA-Green-1-75mm/dp/B07S1692H8/ref=sr_1_172?dchild=1&keywords=orange+filament&qid=1593651242&s=industrial&sr=1-172
[     ], [     ], [     ], [     ], [     ], https://www.amazon.com/s?k=orange+filament&i=industrial&rh=n%3A16310091&page=8&qid=1593651266&ref=sr_hi_1
Banord, S14 BULB, ACRYLIC, 13.9 ounces, [     ], https://www.amazon.com/Banord-Commercial-Candelabra-Incandescent-Replacement/dp/B0748DPP41/ref=sr_1_171?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-171
eSUN, BLUE, ABS, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Printer-Filament-2-2lbs/dp/B01C2COMA2/ref=sr_1_172?dchild=1&keywords=orange+filament&qid=1593651243&s=industrial&sr=1-172
